event_id,category,n_event_hours_log_trips,mean_log_event_log_trips,mean_log_baseline_log_trips,log_diff_log_trips,lift_pct_log_trips,t_stat_log_trips,p_value_log_trips,n_event_hours_log_fpm,mean_log_event_log_fpm,mean_log_baseline_log_fpm,log_diff_log_fpm,lift_pct_log_fpm,t_stat_log_fpm,p_value_log_fpm
259.0,sports_mlb,7,4.879076187958474,4.751019798170765,0.12805638978770872,13.661709448664627,1.811463377027754,0.12003143816135181,7,1.5143021567274422,1.500066233628981,0.014235923098461223,1.4337736413501778,0.672737900530178,0.5261605355386707
260.0,sports_mlb,7,4.795922802764212,4.741754070195051,0.05416873256916066,5.566271180973836,0.660136890266638,0.533672994309599,7,1.5760882860103016,1.5508974199516028,0.025190866058698802,2.5510837057635127,1.334778764359994,0.23036366908278746
261.0,sports_mlb,7,4.984762347366236,4.809972296628211,0.17479005073802512,19.09961416008006,0.6478529279473525,0.5410621616392357,7,1.5480418594493859,1.5683473371412475,-0.02030547769186164,-2.010070979177525,-0.7847139884597896,0.46246977163399006
262.0,sports_mlb,7,5.03022672462204,4.8770949663923675,0.15313175822967207,16.547853021455584,0.5519383030111206,0.6009281218397852,7,1.5773751734600479,1.581887225415117,-0.004512051955069207,-0.4501887941245619,-0.09198920100423302,0.9297010754901107
263.0,sports_mlb,7,5.2820996761291195,5.241688287679933,0.04041138844918635,4.123903980840349,1.1124259980014208,0.30852877092185443,7,1.895189420084861,1.922227410514012,-0.027037990429151115,-2.6675736184543775,-1.3783920124112707,0.21727370005300714
264.0,sports_mlb,7,5.350224929263087,5.402534738008719,-0.0523098087456324,-5.096519798825938,-1.2039638935530859,0.2739412281138777,7,1.8278951241885804,1.8870409870898626,-0.05914586290128221,-5.743072675928751,-1.6903317242497384,0.14192096007726004
265.0,sports_mlb,7,5.170902134275116,5.2271730492139294,-0.0562709149388132,-5.471699009100517,-1.5017099378101395,0.18385181846089638,7,1.8022942296786681,1.827217461517261,-0.024923231838592796,-2.46152123489235,-0.9267087017006473,0.3898324402459353
266.0,sports_mls,7,5.397768362040219,5.1867493400693645,0.21101902197085476,23.49358457516395,1.5752200463643125,0.16627431786432686,7,1.6509564070812917,1.5074611272590421,0.14349527982224952,15.430136228664114,1.910574251512425,0.10462458155651524
267.0,sports_mlb,7,5.101468814502474,5.094338236858462,0.007130577644011815,0.7156060746518866,0.31023891901236295,0.7668729000692125,7,1.7013188795553902,1.7335479583536209,-0.03222907879823067,-3.1715256834437655,-2.043783127151842,0.08698753894615915
268.0,sports_mls,7,5.032338760999502,4.936282053276332,0.09605670772316977,10.082148730418172,1.3162203244877078,0.23614574837996768,7,1.726755500049594,1.5138555311841013,0.21289996886549267,23.72608804436849,6.963267342707335,0.00043573994784178703
269.0,sports_mlb,7,4.973672017756862,4.933760846880747,0.039911170876115065,4.071832398938269,0.7573962468211292,0.4774926989768694,7,1.7224020060301404,1.7622825072327106,-0.03988050120257025,-3.909574080482303,-1.7032971091123115,0.13940362997646738
270.0,sports_mlb,7,5.200070278139217,5.099253552272335,0.10081672586688217,10.607390844936958,1.7371714260171098,0.13302959777230722,7,1.8336782476748734,1.8765985086197328,-0.042920260944859345,-4.201222393838389,-1.6422912295578385,0.1516368592067024
271.0,sports_mlb,7,5.206009323373414,5.177842910582143,0.028166412791271078,2.8566836858383127,0.6585115087652822,0.5346469950060933,7,1.8719990171512169,1.9140813315227017,-0.0420823143714848,-4.120914494244243,-1.10543560862104,0.3113150851361161
272.0,sports_mlb,7,5.221231827236674,5.087100543595609,0.1341312836410653,14.354293827102204,1.2620701852468759,0.25376242419345585,7,1.642131899752456,1.6010089406448387,0.04112295910761743,4.198021862682033,0.7809450082321937,0.46452246896218263
273.0,sports_mlb,7,4.978636615143727,4.933072971844728,0.045563643298998535,4.661761269200904,0.6384126673642501,0.5467845460455849,7,1.6101731524858192,1.5259371441789622,0.08423600830685696,8.78856135553474,2.6605515147238443,0.03749640911991469
274.0,sports_mlb,7,4.774603714734127,4.751019798170765,0.023583916563361562,2.386421630809088,0.4036730554749595,0.7004461881475506,7,1.5148778790078143,1.5000662336289812,0.014811645378833171,1.4921881384679647,0.4837705610956693,0.6456976711209526
275.0,sports_mlb,7,5.0223811258290905,4.8770949663923675,0.14528615943672296,15.637042923722944,0.9921685568845703,0.35942643179569894,7,1.6142325673859925,1.581887225415117,0.03234534197087546,3.2874138512026807,0.7135910450895858,0.5022799344336362
276.0,sports_mlb,7,5.0645024571238455,4.933797772184875,0.13070468493897014,13.96311813610438,0.9946732460572817,0.3583012665978963,7,1.6054390234409137,1.5806715024518418,0.024767520989071867,2.507678398451474,0.5419286342850034,0.6073904658601204
277.0,sports_mlb,7,4.845357037926628,4.933072971844728,-0.0877159339181004,-8.397894972097486,-1.4198939472205043,0.2054482119576372,7,1.5963957769245094,1.5259371441789622,0.0704586327455472,7.3000181441081,2.361611553619106,0.0561603169970102
278.0,sports_mlb,7,4.719898434734307,4.751019798170765,-0.031121363436458438,-3.064207867163049,-0.6527307387839225,0.5381202773719769,7,1.5514941787887584,1.5000662336289812,0.05142794515977722,5.277332614531449,1.7357444338132755,0.1332922906973707
279.0,sports_mlb,7,4.963271419565241,5.0992535522723355,-0.13598213270709447,-12.714177203698151,-3.861667668630485,0.008346133238931946,7,1.7952894664879817,1.8765985086197325,-0.08130904213175083,-7.809126122622478,-3.719492562476218,0.009858281418168078
280.0,sports_mlb,7,5.05740007126671,5.177842910582143,-0.12044283931543287,-11.34722395692156,-5.128957951071393,0.0021592088479009033,7,1.8431439454453844,1.9140813315227019,-0.07093738607731748,-6.847978356357465,-2.9294145868670074,0.02630709323391976
281.0,sports_mlb,7,5.1736865542710575,5.241688287679934,-0.0680017334088765,-6.57411458767807,-2.690334601352846,0.036036607226525644,7,1.8408441344716606,1.9222274105140118,-0.08138327604235118,-7.815969557701441,-2.480571461451846,0.04776834171499341
282.0,sports_mlb,7,5.260959514605012,5.40253473800872,-0.14157522340370843,-13.201012002411272,-2.9071788034634567,0.02707979847561304,7,1.8739370231116192,1.8870409870898626,-0.013103963978243316,-1.301848083898105,-0.37012318777039116,0.7240043503379454
283.0,sports_mlb,7,4.9922912521507765,5.227173049213929,-0.23488179706315204,-20.933569705193232,-5.177151778104146,0.0020600367083586,7,1.8745281633631905,1.8272174615172607,0.04731070184592978,4.8447713118439095,1.7671047722710218,0.12763433728485055
284.0,sports_mlb,7,4.896802952896391,5.094338236858462,-0.19753528396207098,-17.924881923671343,-5.2218157698450405,0.0019727258790485707,7,1.7812321291784472,1.7335479583536209,0.047684170824826344,4.883934894264752,2.6828023737517683,0.03639997021764188
285.0,sports_mlb,7,4.852155147113355,4.933760846880749,-0.08160569976739396,-7.836471193032302,-3.48230510484467,0.013105627740221108,7,1.7784094689790442,1.7622825072327104,0.016126961746333768,1.6257703068474294,0.41519830805567315,0.6924351748222721
286.0,sports_mlb,7,4.892430343475178,4.809972296628211,0.08245804684696711,8.595311332621813,0.510424553446357,0.6279830463796394,7,1.618281859761963,1.5683473371412475,0.049934522620715516,5.120226415321727,1.1038957332351624,0.3119316803771076
287.0,sports_mlb,7,5.014346532624357,5.0992535522723355,-0.08490701964797864,-8.140230803245185,-2.0291061579443452,0.08877361850867574,7,1.8303306939300532,1.8765985086197328,-0.046267814689679554,-4.52137778290248,-3.0538507864436566,0.02240096290159873
288.0,sports_mlb,7,5.0213645969137035,4.8770949663923675,0.144269630521336,15.519554251334533,0.7122419602957838,0.5030568422292632,7,1.63361372794876,1.581887225415117,0.05172650253364286,5.308768630978178,0.7397728664112685,0.4873621190803338
289.0,sports_mlb,7,5.03408146903665,5.177842910582143,-0.14376144154549308,-13.390566245698732,-3.247347746798863,0.017524542082587847,7,1.8693963532556963,1.9140813315227019,-0.04468497826700557,-4.370131074248329,-1.1453203349555887,0.29569641544515596
290.0,sports_mlb,7,4.9553570109147405,4.933797772184875,0.021559238729865093,2.1793318282924634,0.3576990878643202,0.7328148992164,7,1.6249905351514795,1.5806715024518414,0.044319032699638106,4.531579161597965,1.1740799494879548,0.2848497609698406
291.0,sports_mlb,7,5.163986950209211,5.087100543595609,0.07688640661360235,7.991939772356549,0.4633464308701806,0.6594471548593146,7,1.622476189326069,1.6010089406448387,0.0214672486812304,2.169932778904249,0.4265223397007006,0.6846062490935869
292.0,sports_mlb,13,5.017851137318273,5.052307069580408,-0.03445593226213539,-3.38690860477322,-0.6254842755252642,0.5433657969548504,13,1.5419687248986962,1.513673083615757,0.028295641282939155,2.869976558819487,1.3156621215797446,0.21286957287501934
293.0,sports_mls,13,5.017851137318273,5.052307069580408,-0.03445593226213539,-3.38690860477322,-0.6254842755252642,0.5433657969548504,13,1.5419687248986962,1.513673083615757,0.028295641282939155,2.869976558819487,1.3156621215797446,0.21286957287501934
294.0,sports_mlb,7,4.676503252185135,4.751019798170765,-0.07451654598563007,-7.180788392148729,-1.1181305173973302,0.3062704677258302,7,1.5200846283219605,1.5000662336289812,0.02001839469297928,2.0220106489783785,0.6669902690254473,0.5295786521303568
295.0,sports_mlb,7,5.27215661439359,5.087100543595609,0.18505607079798114,20.328590743723417,1.24758271756319,0.2586680421212739,7,1.6391623637109451,1.6010089406448387,0.03815342306610647,3.8890610434890505,0.7410786385950391,0.4866261007654532
296.0,sports_mlb,13,5.158478863068648,5.052307069580409,0.10617179348823935,11.201289667253732,1.7206017345486415,0.11098017713938735,13,1.5200192712273843,1.513673083615757,0.0063461876116273075,0.636636732572704,0.3207594803673887,0.7539097914883878
297.0,sports_mls,13,5.158478863068648,5.052307069580409,0.10617179348823935,11.201289667253732,1.7206017345486415,0.11098017713938735,13,1.5200192712273843,1.513673083615757,0.0063461876116273075,0.636636732572704,0.3207594803673887,0.7539097914883878
298.0,sports_mlb,7,4.8636285510581745,4.751019798170765,0.11260875288740912,11.919396586991947,1.777380561857836,0.12583206154953608,7,1.507764717536769,1.500066233628981,0.007698483907788045,0.7728193425506236,0.3765758137978638,0.7194465783613353
299.0,sports_mlb,7,4.738476588403067,4.933760846880747,-0.19528425847768016,-17.739920643070683,-2.259378615463953,0.06460326693369314,7,1.7017214288952867,1.7622825072327106,-0.06056107833742397,-5.876372188429125,-1.377102822939735,0.21765077326467086
300.0,sports_mlb,7,4.981210332471837,5.099253552272335,-0.11804321980049792,-11.134235582147145,-2.6622442262441353,0.037411772580435466,7,1.8414034940384505,1.8765985086197325,-0.03519501458128205,-3.4582872518243546,-1.0720579132305372,0.32490913989409165
