pickup_zone,holiday_date,trip_lift_pct,fpm_lift_pct
9,2024-09-02,-33.33959840867086,-9.286872061277307
9,2024-10-14,-1.437834789963348,-4.087389388492954
9,2024-10-31,25.970758065370557,-10.62632992626268
9,2024-11-03,12.556159848663992,-6.408816182494983
9,2024-11-11,-10.722676440184193,-4.592062213788735
9,2024-11-28,-5.466970387243735,-17.8945633097707
9,2024-12-25,-22.628938497066866,-17.075743597946456
9,2024-12-31,28.72083231467145,-6.632863094175777
9,2025-01-01,-18.615454038701458,-14.742229435430598
9,2025-01-20,7.13278827177897,-11.140193091496169
9,2025-02-17,5.7043510948219165,-12.600804982357596
9,2025-03-17,7.847006860257497,7.076374110717401
9,2025-05-26,-27.1497039751903,-11.558887915290333
9,2025-06-19,-0.19070826932245513,-3.2978551971755103
9,2025-06-29,7.6748978144107065,0.7676697099869988
9,2025-07-04,-27.15012478402764,-7.8410424456038355
10,2024-01-01,-13.179254994488529,-13.741792903385285
10,2024-01-15,-22.802926091590678,-15.286983981924163
10,2024-02-19,-18.648823459748023,-16.311594835008535
10,2024-05-27,-16.225596924506476,-11.491618729310654
10,2024-06-19,-11.551002474388916,-6.1392475360595045
10,2024-07-04,-4.775979392188681,-14.451070214760719
10,2024-09-02,-2.586293283289762,-11.597947155894134
10,2024-10-14,-14.287015696313238,-10.92480941965112
10,2024-10-31,17.160767730311655,-7.676384105649323
10,2024-11-03,-2.815434400617,-4.634560643976134
10,2024-11-11,-19.548879029980597,-10.1758316724567
10,2024-11-28,16.97538676871306,-15.59517192340231
10,2024-12-25,10.205119903799462,-20.286729074404985
10,2024-12-31,25.96373061139598,-4.982239114748419
10,2025-01-01,-0.15493837152833775,-18.494819377602983
10,2025-01-20,-9.509797669694185,-14.057281231206305
10,2025-02-17,-2.932468502609983,-13.620453619188932
10,2025-03-17,13.96088220021681,8.586680828145084
10,2025-05-26,-5.355695037851532,-10.27238505243209
10,2025-06-19,3.380782918149473,-1.6041462977221417
10,2025-06-29,5.564875845783203,0.8319670089235025
10,2025-07-04,0.9224661373190158,-8.660533220097284
11,2024-01-01,7.468215036540202,-9.471033020456115
11,2024-01-15,-11.933126439082985,-9.510118315481462
11,2024-02-19,-12.503754129542491,-12.807347246804902
11,2024-05-27,-29.622584843327655,-6.9462889494245355
11,2024-06-19,-8.854012437074331,-8.826656909636991
11,2024-07-04,-10.579917515360664,-12.42273816568735
11,2024-09-02,-26.9596556211833,-13.668944522000126
11,2024-10-14,-9.840824907398133,-8.951446786034492
11,2024-10-31,23.30191061358471,-7.812821839523362
11,2024-11-03,6.619648308995806,-5.309977281462979
11,2024-11-11,-12.693963359695658,-5.520349706043362
11,2024-11-28,9.155374126757,-15.279351176753014
11,2024-12-25,11.045306485045892,-16.705297419906966
11,2024-12-31,43.91413864855984,-3.1370476737933815
11,2025-01-01,9.090909090909085,-13.247734504274389
11,2025-01-20,6.136750425468022,-13.34462909571307
11,2025-02-17,8.98988887776555,-11.409997989306566
11,2025-03-17,14.505956552207437,5.479634640634777
11,2025-05-26,-13.264591050155165,-8.4230799155574
11,2025-06-19,4.090564767275475,-1.3058387475697697
11,2025-06-29,17.080443992142563,1.0563207002924866
11,2025-07-04,-7.39845609984849,-4.086050136871808
12,2024-01-01,89.63927312177923,1.847189434873593
12,2024-01-15,-46.40629237862761,-23.891583433226007
12,2024-02-19,5.126118795768917,-11.75827232246493
12,2024-05-27,-1.0577705451586663,-2.677892241570166
12,2024-06-19,71.21019108280255,-6.907926783272557
12,2024-07-04,103.37890121227753,-16.856097050277544
12,2024-09-02,-9.302956333062111,-9.301846567740506
12,2024-10-14,-23.73203146189314,-13.311209328840851
12,2024-10-31,9.182357492906878,-9.370534987709247
12,2024-11-03,-45.06001846722068,-9.886814543196785
12,2024-11-11,-38.16110659072417,-7.268756023643987
12,2024-11-28,-78.59169460923394,-16.469710963357922
12,2024-12-25,-67.89808917197452,-18.03646277780556
12,2024-12-31,47.42857142857142,-4.624589532043123
12,2025-01-01,116.15286624203821,-4.116701131304233
12,2025-01-20,-44.344995931651745,-17.059125116064973
12,2025-02-17,-11.36425278003797,-20.853597073628187
12,2025-03-17,-48.46758882560348,1.814966157646087
12,2025-05-26,-15.486845673989693,-14.646728961218724
12,2025-06-19,-14.366778436935782,15.171401792080847
12,2025-06-29,-23.476454293628805,9.368162646634575
12,2025-07-04,15.765457449235681,3.0571677476242645
13,2024-01-01,-48.308310629335494,-4.075014335343019
13,2024-01-15,-36.56019940872993,-13.096258182131978
13,2024-02-19,-43.070611043482174,-16.96647167373184
13,2024-05-27,-51.58799167842122,-13.473404045328829
13,2024-06-19,-32.496633636018366,-14.912922575068816
13,2024-07-04,-50.09594473583216,-11.023004211816213
13,2024-09-02,-49.77682453191119,-11.281953852443388
13,2024-10-14,-6.798317649862483,-5.179320655085424
13,2024-10-31,-14.983700423039092,-7.633164521039301
13,2024-11-03,-2.9121525521939895,8.348651162069768
13,2024-11-11,-2.343825478716205,-2.891684193902911
13,2024-11-28,-60.5307618673713,-14.838160691073357
13,2024-12-25,-73.42644063115009,-20.68024539014326
13,2024-12-31,-44.200160517986134,-2.754918187162354
