pickup_hour,pickup_zone,platform,trip_count,total_adjusted_fare,total_miles,total_base_fare,total_driver_pay,mean_fare_per_mile,median_fare_per_mile,p75_fare_per_mile,mean_trip_miles,mean_trip_time,pct_shared,pct_airport,pickup_date,dow,hour_of_day,hour_of_week,is_weekend,is_in_crz,is_post_cp,temp_f,precip_in,wind_mph,visibility_mi,is_rain,is_heavy_rain,is_freezing,is_extreme_cold,is_extreme_heat,subway_riders_zone,borough,sapo_count_borough,sapo_typed_borough,sapo_location_borough,is_storm_active,is_holiday,is_event_sym,event_count_sym,is_event_asym,event_count_asym,has_major_event_dayflag,total_event_attendance,is_nj_event_pregame_sym,nj_event_count_sym,is_nj_event_pregame_asym,nj_event_count_asym,is_event_combined_sym,is_event_combined_asym,is_nyc_event_sym,is_nyc_event_asym,event_date_x,event_id,event_name,event_category,venue,league,log_trips,fare_per_mile,log_fpm,nj_event_id,event_date_y,nj_venue,baseline_mean_trips,baseline_mean_fpm,baseline_mean_log_trips,baseline_mean_log_fpm,baseline_n_hours,row_lift_trips_pct,row_lift_fpm_pct
2024-12-23 15:00:00,231,uber,197,9398.539999999999,1262.2299999999998,9868.039999999995,7023.36,11.897634490336305,9.516699410609037,14.840650406504064,6.40725888324873,1971.979695431472,0.015228426395939087,0.13705583756345177,2024-12-23,1,15,15,0,1,0,27.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,2264.0,Manhattan,6,3300,7700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.288267030694535,7.445980526528446,2.0090164655945313,429,2024-12-23,UBS Arena (Belmont),219.7594936708861,6.487161262347799,5.385735349851144,1.8675982826826645,79,-10.35654628189621,14.78025942943241
2024-12-23 16:00:00,261,uber,90,4735.390000000002,653.01,4947.890000000002,3382.2999999999997,19.78402822430921,7.960289115646258,11.673901263604503,7.2556666666666665,2184.177777777778,0.011111111111111112,0.16666666666666666,2024-12-23,1,16,16,0,1,0,25.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,4541.0,Manhattan,6,3300,7700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.51085950651685,7.251634737599733,1.9826049739579226,429,2024-12-23,UBS Arena (Belmont),97.9620253164557,6.110615358208413,4.584562705441658,1.8052241607462278,79,-8.127665073006847,18.67274100076655
2024-12-23 18:00:00,261,uber,85,3277.9,516.8599999999999,3499.3999999999996,2549.1399999999985,8.06842085807877,6.727272727272728,9.601070950468541,6.08070588235294,1714.0117647058823,0.011764705882352941,0.047058823529411764,2024-12-23,1,18,18,0,1,0,27.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2605.0,Manhattan,6,3300,7700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.454347296253507,6.34194946407151,1.8487617680050485,429,2024-12-23,UBS Arena (Belmont),118.89873417721519,5.888630134261497,4.773785462636275,1.7668420167889882,79,-28.51059299478335,7.698213667258356
2024-12-23 18:00:00,249,uber,144,5209.690000000001,730.3799999999995,5565.940000000001,3926.459999999998,11.380037388359362,10.035855506421768,14.557710727969347,5.07208333333333,1460.8680555555557,0.013888888888888888,0.0625,2024-12-23,1,18,18,0,1,0,27.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1892.0,Manhattan,6,3300,7700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.976733742420574,7.132848654125256,1.9661116679496624,429,2024-12-23,UBS Arena (Belmont),171.44303797468353,6.780489144366667,5.135011835452191,1.9095253474997493,79,-16.007088009450673,5.196668002209466
2024-12-10 15:00:00,261,uber,146,8687.64,1057.6200000000006,9039.889999999998,6572.979999999999,11.261828822113875,9.686213172562848,12.000959466738486,7.2439726027397295,3008.5890410958905,0.00684931506849315,0.2602739726027397,2024-12-10,2,15,39,0,1,0,46.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,3876.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.990432586778736,8.214330288761554,2.1070968694775556,416,2024-12-10,Prudential Center (NJ),101.0909090909091,6.490616157062784,4.611470300345294,1.8673850780012327,77,44.42446043165467,26.557018470782694
2024-12-10 16:00:00,113,uber,174,4634.659999999998,440.68,5091.409999999996,3684.3400000000006,12.179145080170212,10.711282545805206,14.211115405196505,2.5326436781609196,1533.051724137931,0.011494252873563218,0.011494252873563218,2024-12-10,2,16,40,0,1,0,46.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2354.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.1647859739235145,10.517064536625211,2.353949515831303,416,2024-12-10,Prudential Center (NJ),146.41558441558442,7.7332274904150715,4.979334593799116,2.0417635438210975,77,18.839808408728043,35.99838553386098
2024-12-10 16:00:00,230,uber,251,21430.820000000003,1821.2299999999998,21990.570000000003,12800.829999999996,21.55755163128274,15.534499514091351,27.290618639139282,7.2558964143426286,2803.605577689243,0.00398406374501992,0.30278884462151395,2024-12-10,2,16,40,0,1,0,46.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,12541.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.529429087511423,11.767223250221008,2.4661674331390255,416,2024-12-10,Prudential Center (NJ),265.4264705882353,7.7304161527255175,5.569709123857253,2.0422454948226068,68,-5.435204166435817,52.21979021235785
2024-12-10 16:00:00,87,uber,141,7319.660000000002,889.1900000000003,7688.910000000003,5434.970000000002,10.30294551711178,9.293296089385475,12.65606936416185,6.306312056737591,2698.7659574468084,0.0,0.14184397163120568,2024-12-10,2,16,40,0,1,0,46.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4899.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,4.955827057601261,8.23182896793711,2.1092222814197217,416,2024-12-10,Prudential Center (NJ),133.4025974025974,6.194147281217727,4.891849001455039,1.8190838849638775,77,5.6950934579439325,32.89688788799333
2024-12-10 18:00:00,231,uber,416,18258.770000000008,1746.0999999999988,19320.02000000001,11891.37,16.69614166012846,14.241789868095351,21.04347677361976,4.197355769230766,1431.516826923077,0.007211538461538462,0.01201923076923077,2024-12-10,2,18,42,0,1,0,47.0,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5308.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,6.0330862217988015,10.456886776244213,2.348216633602452,416,2024-12-10,Prudential Center (NJ),383.1818181818182,7.27744239455318,5.931316514965422,1.9755699875703858,77,8.56465005931198,43.6890353686715
2024-12-10 18:00:00,230,uber,300,21380.039999999986,1422.7200000000003,22132.289999999997,12933.889999999998,30.160191735154203,23.550635208711434,39.9725932382332,4.742400000000001,1903.5466666666666,0.006666666666666667,0.08333333333333333,2024-12-10,2,18,42,0,1,0,47.0,,5.0,4.0,0.0,0.0,0.0,0.0,0.0,16692.0,Manhattan,5,2300,4700,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,5.707110264748875,15.027580971659907,2.7105524659353377,416,2024-12-10,Prudential Center (NJ),360.94117647058823,8.273586186563085,5.8714249813148225,2.1002746192492645,68,-16.883963494132985,81.6332196558949
